source_id,name_he,category,price,url
3-רקפות-בסלסלה,סלסלת חורף,צמחים-למרפסת-ולגינה,90.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/3-רקפות-בסלסלה/
אבליה-לבנה,אבליה לבנה,צמחים-למרפסת-ולגינה,115.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אבליה-לבנה/
אגלונמה-אדומה,אגלונמה אדומה,צמחים-לבית-ולמשרד,55.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אגלונמה-אדומה/
אגלונמה-סילבר-קווין,אגלונמה סילבר קווין,צמחים-לבית-ולמשרד,67.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אגלונמה-סילבר-קווין/
אגלונמה-פרידמן,אגלונמה פרידמן,צמחים-לבית-ולמשרד,159.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אגלונמה-פרידמן/
אגלונמה-רד-ולנטיין,אגלונמה רד ולנטיין,צמחים-לבית-ולמשרד,135.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אגלונמה-רד-ולנטיין/
אגלונמה,אגלונמה ווידורי,צמחים-לבית-ולמשרד,135.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אגלונמה/
אדניום-שושנת-המדבר,אדניום (שושנת המדבר),צמחים-למרפסת-ולגינה,139.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אדניום-שושנת-המדבר/
אדנית-חורף,אדנית חורף,צמחים-למרפסת-ולגינה,,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אדנית-חורף/
אדננטוס-עציץ-24-סמ,"אדננטוס - עציץ 24 ס""מ",צמחים-למרפסת-ולגינה,192.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אדננטוס-עציץ-24-סמ/
אדננטוס,אדננטוס,צמחים-למרפסת-ולגינה,,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אדננטוס/
אוזן-פיל-אלוקסיה-פורטדורה,אוזן פיל - אלוקסיה,צמחים-לבית-ולמשרד,229.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אוזן-פיל-אלוקסיה-פורטדורה/
אוזן-פיל,אוזן פיל - אלוקסיה אודורה,צמחים-לבית-ולמשרד,229.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אוזן-פיל/
אוכמניה-גים,אוכמניה ג'ים,צמחים-למרפסת-ולגינה,129.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אוכמניה-גים/
אוכמניה-קלימקס,אוכמניה קלימקס,צמחים-למרפסת-ולגינה,149.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אוכמניה-קלימקס/
אזלאה-על-גזע,אזלאה,צמחים-לבית-ולמשרד,105.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אזלאה-על-גזע/
אימפריאל-אדום,פילודנדרון אימפריאל כהה,צמחים-לבית-ולמשרד,122.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אימפריאל-אדום/
אימפריאל-ירוק,פילודנדרון אימפריאל ירוק,צמחים-לבית-ולמשרד,89.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אימפריאל-ירוק/
אימפריאל-נרו,אימפריאל נרו,צמחים-לבית-ולמשרד,,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אימפריאל-נרו/
איצטרובלנית,איצטרובלנית,צמחים-למרפסת-ולגינה,18.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/איצטרובלנית/
איקסורה-אדומה,איקסורה אדומה,צמחים-לבית-ולמשרד,215.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/איקסורה-אדומה/
איקסורה,איקסורה,צמחים-לבית-ולמשרד,,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/איקסורה/
אכימאה,אכימאה,צמחים-לבית-ולמשרד,119.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אכימאה/
אלוורה-בכלי-קרמיקה-חרס,אלוורה בכלי קרמיקה / חרס,צמחים-למרפסת-ולגינה,140.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אלוורה-בכלי-קרמיקה-חרס/
אלוורה-דינו,אלוורה דינו,צמחים-לבית-ולמשרד,55.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אלוורה-דינו/
אלוורה-טיקי-בעציץ-בינוני,אלוורה טיקי בעציץ בינוני,צמחים-לבית-ולמשרד,118.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אלוורה-טיקי-בעציץ-בינוני/
אלוורה-טיקי,אלוורה טיקי,צמחים-לבית-ולמשרד,65.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אלוורה-טיקי/
אלוורה,אלוורה רפואית,צמחים-למרפסת-ולגינה,35.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אלוורה/
אלוקסיה-וונטי-בכלי,אלוקסיה וונטי בכלי,צמחים-לבית-ולמשרד,339.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אלוקסיה-וונטי-בכלי/
אלוקסיה-וונטי-קטן,אלוקסיה וונטי - קטן,צמחים-לבית-ולמשרד,79.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אלוקסיה-וונטי-קטן/
אלוקסיה-וונטי,אלוקסיה וונטי,צמחים-לבית-ולמשרד,189.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אלוקסיה-וונטי/
אלוקסיה-פולי-בכלי-מעוצב,אלוקסיה פולי בכלי מעוצב,צמחים-לבית-ולמשרד,120.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אלוקסיה-פולי-בכלי-מעוצב/
אלוקסיה-פולי-במבינו,אלוקסיה פולי במבינו,צמחים-לבית-ולמשרד,50.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אלוקסיה-פולי-במבינו/
אלוקסיה-פולי,אלוקסיה פולי (אמזוניקה),צמחים-לבית-ולמשרד,63.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אלוקסיה-פולי/
אלמנדה-סגולה,אלמנדה סגולה,צמחים-למרפסת-ולגינה,89.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אלמנדה-סגולה/
אלמנדה-צהובה,אלמנדה צהובה,צמחים-למרפסת-ולגינה,89.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אלמנדה-צהובה/
אלסטרומריה,אלסטרומריה,צמחים-לבית-ולמשרד,95.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אלסטרומריה/
אמנון-ותמר-בכלי-חרס,אמנון ותמר בכלי חרס,צמחים-למרפסת-ולגינה,10.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אמנון-ותמר-בכלי-חרס/
אמנון-ותמר-בכלי-עץ,אמנון ותמר בכלי עץ,צמחים-למרפסת-ולגינה,69.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אמנון-ותמר-בכלי-עץ/
אמנון-ותמר,אמנון ותמר,צמחים-למרפסת-ולגינה,15.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אמנון-ותמר/
אנטוריום-בינוני-בכלי-קרמיקה-בקבוק-יין,אנטוריום בינוני בכלי קרמיקה + בקבוק יין,צמחים-לבית-ולמשרד,,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אנטוריום-בינוני-בכלי-קרמיקה-בקבוק-יין/
אנטוריום-בכלי-קרמיקה-בקבוק-יין,אנטוריום בכלי קרמיקה + בקבוק יין,צמחים-לבית-ולמשרד,119.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אנטוריום-בכלי-קרמיקה-בקבוק-יין/
אנטוריום-גדול-בעציץ-קש,אנטוריום גדול בעציץ קש,צמחים-לבית-ולמשרד,260.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אנטוריום-גדול-בעציץ-קש/
אנטוריום-עציץ-12-סמ,"אנטוריום - עציץ 12 ס""מ",צמחים-לבית-ולמשרד,55.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אנטוריום-עציץ-12-סמ/
אנטוריום-עציץ-15-סמ,"אנטוריום - עציץ 15 ס""מ",צמחים-לבית-ולמשרד,84.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אנטוריום-עציץ-15-סמ/
אנטוריום-עציץ-17-סמ,"אנטוריום - עציץ 17 ס""מ",צמחים-לבית-ולמשרד,155.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אנטוריום-עציץ-17-סמ/
אנטוריום-עציץ-18-סמ,"אנטוריום - עציץ 18 ס""מ",צמחים-לבית-ולמשרד,160.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אנטוריום-עציץ-18-סמ/
אנטוריום-עציץ-24-סמ,"אנטוריום - עציץ 24 ס""מ",צמחים-לבית-ולמשרד,219.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אנטוריום-עציץ-24-סמ/
אנטוריום-קטן-בעטיפת-יוטה,אנטוריום קטן בעטיפת יוטה,צמחים-לבית-ולמשרד,59.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אנטוריום-קטן-בעטיפת-יוטה/
אנטוריום-קלרינרביום,אנטוריום קלרינרביום,צמחים-לבית-ולמשרד,,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אנטוריום-קלרינרביום/
אנטוריום,אנטוריום בינוני בכלי קרמיקה,צמחים-לבית-ולמשרד,134.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אנטוריום/
אציווריה-צבועה,אצ'יווריה צבועה,סוקולנטים-וקקטוסים,72.0,https://azurflowers.co.il/חנות/סוקולנטים-וקקטוסים/אציווריה-צבועה/
אציווריה,אצ'יווריה,סוקולנטים-וקקטוסים,69.0,https://azurflowers.co.il/חנות/סוקולנטים-וקקטוסים/אציווריה/
ארדיסיה,ארדיסיה,צמחים-לבית-ולמשרד,154.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/ארדיסיה/
ארוקריה-עציץ-22-סמ,"ארוקריה - עציץ 22 ס""מ",צמחים-למרפסת-ולגינה,150.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ארוקריה-עציץ-22-סמ/
ארוקריה,ארוקריה,צמחים-למרפסת-ולגינה,45.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ארוקריה/
ארליה-יפנית,ארליה יפנית,צמחים-לבית-ולמשרד,157.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/ארליה-יפנית/
בגוניה-באוראה,בגוניה באוראה,צמחים-לבית-ולמשרד,49.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/בגוניה-באוראה/
בגוניה-דרגון,בגוניה דרגון,צמחים-למרפסת-ולגינה,57.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/בגוניה-דרגון/
בגוניה-ורד,בגוניה ורד,צמחים-לבית-ולמשרד,69.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/בגוניה-ורד/
בגוניה-מנוקדת,בגוניה מנוקדת (טמאיה),צמחים-למרפסת-ולגינה,45.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/בגוניה-מנוקדת/
בגוניה-מקולטה,בגוניה מקולטה,צמחים-לבית-ולמשרד,49.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/בגוניה-מקולטה/
בגוניה-רקס,בגוניה רקס,צמחים-לבית-ולמשרד,37.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/בגוניה-רקס/
בוגונביליה,בוגונביליה,צמחים-למרפסת-ולגינה,77.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/בוגונביליה/
בודליה-בודלאה,בודליה (בודלאה),צמחים-למרפסת-ולגינה,105.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/בודליה-בודלאה/
בומאה,בומאה,צמחים-למרפסת-ולגינה,15.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/בומאה/
בושמת-בשמת,בושמת (בשמת),צמחים-למרפסת-ולגינה,15.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/בושמת-בשמת/
בידנס,בידנס,צמחים-למרפסת-ולגינה,15.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/בידנס/
ביצן-עציץ-18-סמ,"ביצן - עציץ 18 ס""מ",צמחים-למרפסת-ולגינה,45.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ביצן-עציץ-18-סמ/
ביצן-עציץ-24-סמ,"ביצן - עציץ 24 ס""מ",צמחים-למרפסת-ולגינה,98.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ביצן-עציץ-24-סמ/
ביצן,ביצן,צמחים-למרפסת-ולגינה,15.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ביצן/
במבוק-ננסי,במבוק ננסי,צמחים-למרפסת-ולגינה,56.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/במבוק-ננסי/
בקופה,בקופה,צמחים-למרפסת-ולגינה,,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/בקופה/
ברונפלסיה-אתמול-היום-מחר,ברונפלסיה (אתמול היום מחר),צמחים-למרפסת-ולגינה,77.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ברונפלסיה-אתמול-היום-מחר/
ברוש-אפור,ברוש אפור,צמחים-למרפסת-ולגינה,65.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ברוש-אפור/
ברוש-טוטם-עציץ-24-סמ,ברוש טוטם - עציץ גדול / שק,צמחים-למרפסת-ולגינה,123.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ברוש-טוטם-עציץ-24-סמ/
ברוש-טוטם,ברוש טוטם,צמחים-למרפסת-ולגינה,65.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ברוש-טוטם/
ברוש-לימוני-עציץ-24-סמ,ברוש לימוני - עציץ גדול / שק,צמחים-למרפסת-ולגינה,123.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ברוש-לימוני-עציץ-24-סמ/
ברוש-לימוני,ברוש לימוני,צמחים-למרפסת-ולגינה,65.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ברוש-לימוני/
ברכיקומה,ברכיקומה,צמחים-למרפסת-ולגינה,15.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ברכיקומה/
ברניה-מושלגת-אדומה,ברניה מושלגת אדומה,צמחים-למרפסת-ולגינה,115.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ברניה-מושלגת-אדומה/
ברניה-מושלגת,ברניה מושלגת,צמחים-למרפסת-ולגינה,24.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ברניה-מושלגת/
בת-שבע-בקערה,בת שבע בקערה,צמחים-לבית-ולמשרד,99.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/בת-שבע-בקערה/
בת-שבע,בת שבע (הויה),צמחים-למרפסת-ולגינה,56.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/בת-שבע/
גוזמניה-בעציץ-קרמיקה,גוזמניה קטן בעציץ קרמיקה,צמחים-לבית-ולמשרד,79.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/גוזמניה-בעציץ-קרמיקה/
גוזמניה-גדול,גוזמניה גדול,צמחים-לבית-ולמשרד,85.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/גוזמניה-גדול/
גוזמניה-קטן,גוזמניה קטן,צמחים-לבית-ולמשרד,45.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/גוזמניה-קטן/
גומא,גומא,צמחים-למרפסת-ולגינה,15.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/גומא/
גזניה,גזניה,צמחים-למרפסת-ולגינה,15.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/גזניה/
גיפסנית,גיפסנית,צמחים-למרפסת-ולגינה,15.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/גיפסנית/
גפן-ענבים-זן-איזבלה,גפן ענבים זן איזבלה,צמחים-למרפסת-ולגינה,77.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/גפן-ענבים-זן-איזבלה/
גפן-ענבים-זן-מוסקט,גפן ענבים זן מוסקט,צמחים-למרפסת-ולגינה,122.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/גפן-ענבים-זן-מוסקט/
גפנית-על-סטיקים,גפנית על סטיקים,צמחים-למרפסת-ולגינה,139.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/גפנית-על-סטיקים/
גפנית,גפנית,צמחים-למרפסת-ולגינה,84.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/גפנית/
גרברה,גרברה,צמחים-למרפסת-ולגינה,,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/גרברה/
גרדניה-יסמינית-עציץ-18-סמ,גרדניה יסמינית שיחית,צמחים-למרפסת-ולגינה,149.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/גרדניה-יסמינית-עציץ-18-סמ/
גרדניה-יסמינית,גרדניה יסמינית,צמחים-למרפסת-ולגינה,77.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/גרדניה-יסמינית/
גרמית,גרמית,צמחים-למרפסת-ולגינה,18.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/גרמית/
גרניום-צרפתי,גרניום צרפתי,צמחים-למרפסת-ולגינה,,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/גרניום-צרפתי/
גרניום,גרניום,צמחים-למרפסת-ולגינה,15.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/גרניום/
דודונאה,דודונאה דנה,צמחים-למרפסת-ולגינה,109.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/דודונאה/
דורנטה-גיישה,דורנטה גיישה,צמחים-למרפסת-ולגינה,122.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/דורנטה-גיישה/
דורנטה-תאילנדית,דורנטה תאילנדית,צמחים-למרפסת-ולגינה,39.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/דורנטה-תאילנדית/
דורנטה,דורנטה,צמחים-למרפסת-ולגינה,122.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/דורנטה/
דיכונדרה-ירוקה,דיכונדרה ירוקה,צמחים-למרפסת-ולגינה,15.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/דיכונדרה-ירוקה/
דיכונדרה-כסופה,דיכונדרה כסופה,צמחים-למרפסת-ולגינה,15.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/דיכונדרה-כסופה/
דיפנבכיה-טרופיק,דיפנבכיה טרופיק,צמחים-לבית-ולמשרד,119.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/דיפנבכיה-טרופיק/
דיפנבכיה-לינדה,דיפנבכיה לינדה,צמחים-לבית-ולמשרד,175.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/דיפנבכיה-לינדה/
דיפנבכיה-קמילה,דיפנבכיה קמילה,צמחים-לבית-ולמשרד,39.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/דיפנבכיה-קמילה/
דקל-אריקה-בינוני,דקל אריקה בינוני,עצים,67.0,https://azurflowers.co.il/חנות/עצים/דקל-אריקה-בינוני/
דקל-אריקה-קטן,דקל אריקה קטן,עצים,31.0,https://azurflowers.co.il/חנות/עצים/דקל-אריקה-קטן/
דקל-אריקה,דקל אריקה גדול,עצים,389.0,https://azurflowers.co.il/חנות/עצים/דקל-אריקה/
דקל-חמדוראה-בינוני,דקל חמדוראה בינוני,עצים,59.0,https://azurflowers.co.il/חנות/עצים/דקל-חמדוראה-בינוני/
דקל-חמדוראה,דקל חמדוראה גדול,עצים,389.0,https://azurflowers.co.il/חנות/עצים/דקל-חמדוראה/
דקל-חמדוריאה-קטן,דקל חמדוריאה קטן,צמחים-לבית-ולמשרד,31.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/דקל-חמדוריאה-קטן/
דקל-חמדוריאה,דקל חמדוריאה,עצים,169.0,https://azurflowers.co.il/חנות/עצים/דקל-חמדוריאה/
דקל-טבעות,דקל טבעות,עצים,495.0,https://azurflowers.co.il/חנות/עצים/דקל-טבעות/
